Categories,Available Services,1 oz.,2 oz.,3 oz.,4 oz.,5 oz.,6 oz.,7 oz.,8 oz.,9 oz.,10 oz.,11 oz.,12 oz.,13 oz.,14 oz.,15 oz.,15.99 oz.,1 lb.,2 lb.,3 lb.,4 lb.,5 lb.,6 lb.,7 lb.,8 lb.,9 lb.,10 lb.,11 lb.,12 lb.,13 lb.,14 lb.,15 lb.,16 lb.,17 lb.,18 lb.,19 lb.,20 lb.,21 lb.,22 lb.,23 lb.,24 lb.,25 lb.,26 lb.,27 lb.,28 lb.,29 lb.,30 lb.,31 lb.,32 lb.,33 lb.,34 lb.,35 lb.,36 lb.,37 lb.,38 lb.,39 lb.,40 lb.,41 lb.,42 lb.,43 lb.,44 lb.,45 lb.,46 lb.,47 lb.,48 lb.,49 lb.,50 lb.,51 lb.,52 lb.,53 lb.,54 lb.,55 lb.
"Clothing, Shoes & Accessories -> Clothing -> Mens -> Jeans, Pants & Shorts",SC&VAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0526822916666667,3.4342675781250005,3.8158528645833334,4.197438151041667,4.5790234375,4.960608723958334,5.342194010416668,5.7237792968750005,6.105364583333333,6.105364583333333,6.105364583333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Clothing, Shoes & Accessories -> Clothing -> Mens -> Sleepwear & Robes",SC&VAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0526822916666667,3.4342675781250005,3.8158528645833334,4.197438151041667,4.5790234375,4.960608723958334,5.342194010416668,5.7237792968750005,6.105364583333333,6.105364583333333,6.105364583333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Clothing, Shoes & Accessories -> Clothing -> Mens -> Suits & Sportcoats",SC&VAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.105364583333333,6.105364583333333,6.460219618055556,6.815074652777778,7.1699296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Clothing, Shoes & Accessories -> Clothing -> Mens -> Swimwear",SC&VAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0526822916666667,3.4342675781250005,3.8158528645833334,4.197438151041667,4.5790234375,4.960608723958334,5.342194010416668,5.7237792968750005,6.105364583333333,6.105364583333333,6.105364583333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Clothing, Shoes & Accessories -> Clothing -> Mens -> T-Shirts, Polos, Sweaters",SC&VAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0526822916666667,3.4342675781250005,3.8158528645833334,4.197438151041667,4.5790234375,4.960608723958334,5.342194010416668,5.7237792968750005,6.105364583333333,6.105364583333333,6.105364583333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Clothing, Shoes & Accessories -> Clothing -> Mens -> Underwear & Socks",SC,0.0,0.0,0.0,1.6590364583333335,1.6590364583333335,1.6590364583333335,1.6590364583333335,1.6590364583333335,1.866416015625,2.0737955729166666,2.2811751302083336,2.4885546875,2.6959342447916668,2.903313802083334,3.1106933593750004,3.318072916666667,3.318072916666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Dresses & Skirts",SC&VAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0526822916666667,3.4342675781250005,3.8158528645833334,4.197438151041667,4.5790234375,4.960608723958334,5.342194010416668,5.7237792968750005,6.105364583333333,6.105364583333333,6.105364583333333,6.460219618055556,6.815074652777778,7.1699296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Jackets & Outerwear",SC&VAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0526822916666667,3.4342675781250005,3.8158528645833334,4.197438151041667,4.5790234375,4.960608723958334,5.342194010416668,5.7237792968750005,6.105364583333333,6.105364583333333,6.105364583333333,6.460219618055556,6.815074652777778,7.1699296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Jeans, Pants, Legging & Shorts",SC&VAS,0.0,0.0,0.0,0.0,0.0,3.0526822916666667,3.0526822916666667,3.0526822916666667,3.4342675781250005,3.8158528645833334,4.197438151041667,4.5790234375,4.960608723958334,5.342194010416668,5.7237792968750005,6.105364583333333,6.105364583333333,6.105364583333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & Blouses",SC&VAS,0.0,0.0,0.0,0.0,0.0,3.0526822916666667,3.0526822916666667,3.0526822916666667,3.4342675781250005,3.8158528645833334,4.197438151041667,4.5790234375,4.960608723958334,5.342194010416668,5.7237792968750005,6.105364583333333,6.105364583333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
